,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
0,287.26176115802167,215.4463208685163,251.354041013269,215.4463208685163,189.51296743063932,223.42581423401688,151.61037394451148,385.0105548854041,359.07720144752716,287.26176115802167,227.4155609167672,229.41043425814232,0.0,251.354041013269,215.4463208685163,251.354041013269,251.354041013269,215.4463208685163,215.4463208685163,215.4463208685163,223.42581423401688,1795.3860072376358
1,263.59469240048253,197.69601930036188,230.64535585042222,197.69601930036188,173.89927623642944,205.01809408926417,139.11942098914355,353.2901085645356,329.49336550060315,263.59469240048253,208.6791314837153,210.5096501809409,0.0,230.64535585042222,197.69601930036188,230.64535585042222,230.64535585042222,197.69601930036188,197.69601930036188,197.69601930036188,205.01809408926417,1647.4668275030158
2,259.03498190591074,194.27623642943306,226.6556091676719,194.27623642943306,170.89113389626056,201.47165259348614,136.71290711700846,347.1788299155609,323.79372738238845,259.03498190591074,205.06936067551268,206.86821471652593,0.0,226.6556091676719,194.27623642943306,226.6556091676719,226.6556091676719,194.27623642943306,194.27623642943306,194.27623642943306,201.47165259348614,1618.9686369119424
3,253.71531966224364,190.28648974668275,222.0009047044632,190.28648974668275,167.38163449939685,197.3341375150784,133.9053075995175,340.04900482509044,317.14414957780457,253.71531966224364,200.85796139927623,202.61987334137513,0.0,222.0009047044632,190.28648974668275,222.0009047044632,222.0009047044632,190.28648974668275,190.28648974668275,190.28648974668275,197.3341375150784,1585.720747889023
4,249.9879372738239,187.49095295536793,218.73944511459592,187.49095295536793,164.9225975070366,194.43506232408524,131.93807800562928,335.0532770406112,312.4849215922799,249.9879372738239,197.90711700844392,199.64314435062323,0.0,218.73944511459592,187.49095295536793,218.73944511459592,218.73944511459592,187.49095295536793,187.49095295536793,187.49095295536793,194.43506232408524,1562.4246079613995
5,265.62123039806994,199.2159227985525,232.41857659831126,199.2159227985525,175.23622838761563,206.59429030961,140.1889827100925,356.00623240852434,332.02653799758747,265.62123039806994,210.28347406513873,212.1280659429031,0.0,232.41857659831126,199.2159227985525,232.41857659831126,232.41857659831126,199.2159227985525,199.2159227985525,199.2159227985525,206.59429030961,1660.1326899879375
6,294.75271411338963,221.06453558504222,257.9086248492159,221.06453558504222,194.45491556091676,229.2521109770808,155.56393244873342,395.05051266586247,368.44089264173704,294.75271411338963,233.3458986731001,235.39279252110975,0.0,257.9086248492159,221.06453558504222,257.9086248492159,257.9086248492159,221.06453558504222,221.06453558504222,221.06453558504222,229.2521109770808,1842.2044632086852
7,333.9445114595899,250.4583835946924,292.20144752714117,250.4583835946924,220.31061519903497,259.73462002412543,176.248492159228,447.57840772014475,417.43063932448734,333.9445114595899,264.372738238842,266.69179734620025,0.0,292.20144752714117,250.4583835946924,292.20144752714117,292.20144752714117,250.4583835946924,250.4583835946924,250.4583835946924,259.73462002412543,2087.153196622437
8,354.60796139927623,265.9559710494572,310.2819662243668,265.9559710494572,233.94275231202255,275.8061921994371,187.15420184961803,475.27317048653,443.25995174909536,354.60796139927623,280.73130277442704,283.193858061922,0.0,310.2819662243668,265.9559710494572,310.2819662243668,310.2819662243668,265.9559710494572,265.9559710494572,265.9559710494572,275.8061921994371,2216.299758745477
9,345.9951749095295,259.49638118214716,302.7457780458384,259.49638118214716,228.2607056694813,269.1073582629674,182.60856453558506,463.7296441495778,432.493968636912,345.9951749095295,273.91284680337753,276.3155910735826,0.0,302.7457780458384,259.49638118214716,302.7457780458384,302.7457780458384,259.49638118214716,259.49638118214716,259.49638118214716,269.1073582629674,2162.46984318456
